condition_id,source_year,source_week,game_id,play_id,nfl_id,n_rows_in_condition
27,2023,1,2023090700,101,43290,1
31,2023,1,2023090700,101,44930,1
7,2023,1,2023090700,101,46137,1
10,2023,1,2023090700,101,52546,1
14,2023,1,2023090700,101,53487,1
21,2023,1,2023090700,101,53541,1
25,2023,1,2023090700,101,53959,1
17,2023,1,2023090700,101,54486,1
3,2023,1,2023090700,101,54527,1
94,2023,1,2023090700,194,41325,1
90,2023,1,2023090700,194,44822,1
34,2023,1,2023090700,194,44888,1
48,2023,1,2023090700,194,44906,1
70,2023,1,2023090700,194,46213,1
74,2023,1,2023090700,194,46243,1
45,2023,1,2023090700,194,47888,1
81,2023,1,2023090700,194,53591,1
54,2023,1,2023090700,194,53953,1
87,2023,1,2023090700,194,54519,1
59,2023,1,2023090700,194,54562,1
64,2023,1,2023090700,194,54653,1
40,2023,1,2023090700,194,55910,1
117,2023,1,2023090700,219,44822,1
96,2023,1,2023090700,219,44888,1
102,2023,1,2023090700,219,44906,1
110,2023,1,2023090700,219,46243,1
112,2023,1,2023090700,219,46309,1
100,2023,1,2023090700,219,47888,1
108,2023,1,2023090700,219,52440,1
104,2023,1,2023090700,219,53542,1
119,2023,1,2023090700,219,53591,1
106,2023,1,2023090700,219,53953,1
115,2023,1,2023090700,219,54519,1
107,2023,1,2023090700,219,54562,1
98,2023,1,2023090700,219,55910,1
221,2023,1,2023090700,361,38696,1
212,2023,1,2023090700,361,43290,1
196,2023,1,2023090700,361,43584,1
144,2023,1,2023090700,361,46137,1
158,2023,1,2023090700,361,47882,1
152,2023,1,2023090700,361,52546,1
185,2023,1,2023090700,361,53541,1
167,2023,1,2023090700,361,54486,1
136,2023,1,2023090700,361,54495,1
127,2023,1,2023090700,361,54527,1
205,2023,1,2023090700,361,55899,1
241,2023,1,2023090700,436,38696,1
247,2023,1,2023090700,436,43290,1
238,2023,1,2023090700,436,44930,1
228,2023,1,2023090700,436,46137,1
232,2023,1,2023090700,436,52546,1
233,2023,1,2023090700,436,53487,1
250,2023,1,2023090700,436,53541,1
235,2023,1,2023090700,436,54486,1
223,2023,1,2023090700,436,54527,1
226,2023,1,2023090700,436,54600,1
245,2023,1,2023090700,436,55899,1
298,2023,1,2023090700,461,43290,1
303,2023,1,2023090700,461,44930,1
259,2023,1,2023090700,461,46137,1
